requirement,requirement_detail,product_id,method1_deterministic,method1_deterministic_correct,method2_hybrid,method2_hybrid_correct,method3_llm,method3_llm_correct
Elektronik-Urinal," Elektronik-Urinal mit Spülrand für Netzanschluss aus Sanitärkeramik mit Zulauf von hinten, absaugend, optional mit Zielpunkt Fliege. Für Siphon Abgang waagerecht. inkl. Komplette Steuerung sowie Befestigung inklusive. Weiß. Ohne Fliege Netzanschluss inkl. Befestigungssystem Material : Sanitärporzellan Gewicht : 17,6 kg Befestigung: Inklusive Befestigungssatz mit Abdeckkappen (weiß) Abmessungen: Breite : 345 mm Tiefe : 315 mm Höhe : 635 mm Zulauf : von hinten Abgang : nach hinten inkl. Absaugesiphon  Hersteller: Duravit Typ: Urinal Utronic oder gleichwertiges Produkt gew. Hersteller:  gew. Typ:",0051120000,2804310093,False,2804310093,False,2804310093,False
Urinale für UP Steuerungen ," Urinal für Unterputzsteuerung   Eigenschaften - Ausspülen der Urinalkeramik mit 0,5 l pro Spülung gewährleistet, unter Einhaltung der EN 13407 - Reinigung des Entwässerungssystems ohne Abnehmen der Keramik - Sprühkopf von vorne austauschbar, ohne Abnehmen der Keramik - Geruchsverschlussaufnahme werkzeuglos   Technische Eigenschaften - Farbe: weiß - Kleine Spülmenge Einstellbereich: 0,5 l - Zielmarkierung: nein - Zulauf: hinten   im Lieferumfang enthalten: - Befestigungsmaterial - Urinalgeruchsverschluss mit Absaugfunktion - Ablaufsieb - Ablaufgarnitur - Rückflussverhinderer - Anschlusswinkel 90G R 1/2""   Zusätzlich zu bestellen - UP-Urinalsteuerung   Fabrikat z.BeispielDuravit My Stark oder gleichwertig   Angebotenes Produkt:....................... ",2809310093,2806300000,False,2806310093,False,2809310000,False
Elektronic-Urinal," Elektronic-Urinal für Netzanschluss aus Sanitärkeramik mit Zielpunkt Fliege, mit verdecktem Zu- und Ablauf absaugend. Außen glatte geschlossene Form. Abgang waagerecht. Unterhalb des Urinals eingebaute Elektronikeinheit für Netzbetrieb 230 V mit Infrarot-Sensoren und Edelstahlabdeckung, bestehend aus: Fabrikat:  DURAVIT Typ:  Utronic Best.Nr.:  0830370097  einschl. Netzteil 230 V Best.Nr.:  0050040000   oder gleichwertiger Art, nach Wahl des Bieters:  Fabr.:  .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. ..  Typ:  .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. ..   Material und Lohn:",0050040000,0830370097,False,0834320000,False,0830370097,False
 Tiefspül-WC 6l," Duravit Wand WC D-Code aus Sanitärkeramik 545x355x355mm, Tiefspüler, Spülrand geschlossen, Abgang waagerecht, Wandhängend Bestellnummer: 2535092000, Farbe: Weiß Hochglanz, Ausführung: Wand WC, Oberfläche:   Tiefspül-WC 6l  Eigenschaften - Tiefspül-WC - Wandhängend - Mit Spülrand -Typ 1, Vollmenge 6 / 5 l, nach EN 997 - Bodenfreiheit 7 cm - Für 4,5 l Spülbetrieb geeignet - 10 Jahre Nachkaufgarantie  Technische Eigenschaften - Farbe: weiß - Werkstoff: Sanitärkeramik - B / Breite (cm): 35,5 cm - H / Höhe (cm): 35,5 cm - Ausladung (cm): 54,5 cm  inkl. WC-Schallschutz-Set und Silkonfuge  liefern und nach Herstellerangaben montieren.  Fabrikat:  Duravit oder gleichwertig  Typ:   D-Code   Angebotenes Fabrikat: '....................'",2535092000,2535092000,True,0184090000,False,2535092000,True
" DURAVIT Vero Waschtisch mit zwei Hahnlöchern, Größe (BxTxH) 600 x 470 mm ", DURAVIT Vero Waschtisch aus Sanitärkeramik mit Hahnlochbank mit einem Hahnloch Rechteckiger Waschtisch. Unterseite geschliffen für Konsolenmontage  Abmessungen(BxTxH) 600 x 470 mm.  Farbe:  weiß für Ausführung: mit Überlauf und Hahnloch  Fabrikat: Duravit  oder gleichwertig  Fabrikat:_________________Typ:________________________  liefern und montieren,0454600027,0454600000,False,0454600000,False,0454600027,True
Waschtisch 500 mm," Waschtisch, aus Sanit ä rkeramik, Farbe wei ß , Beckenunterseite glasiert, mit Ü berlauf, mit Hahnlochbank, 1 Hahnloch, Abmessungen au ß en: Breite: 500 mm, Tiefe : 470 mm, H ö he : 175 mm, einschl. Schallschutzset, Montagezubeh ö r. Fabrikat:     Duravit oder gleichwertig Typ:            Vero (045450) gew ä hltes Fabrikat/Typ: @61 Textergänzungen des Bieters ...........................................",0454500000,0454500000,True,0454500000,True,0454500000,True
" Wand-Tiefsp#l-WC 37x54cm, weiss, Sp#lrand geschlossen, Abgang waagerecht"," Wand-Tiefsp#l-WC 37x54cm, weiss, Sp#lrand geschlossen, Abgang waagerecht aus Sanit#rkeramik 540x370x345mm, Sp#lrand geschlossen, Abgang waagerecht, f#r 4,5 Liter Sp#lwasser, EWL Klasse 1. mit geschlossenem Sp#lrand und keramischem Sp#lwasserverteiler. Rechteckige nach unten konische Beckenform mit markanter, schmaler Keramikkante Flache Deckel-/Sitzkombination. Bodenfreiheit: 55/75mm bei Einbauh÷he 400mm. Abmessungen(BxTxH):370x540x345/325mm. Farbe: Wei#, Hochglanz Leitfabrikat: Duravit Wand WC DuraStyle Das angebotenes Fabrikat ist vor Einbau zur Bemusterung vorzustellen.  gew#hltes Fabrikat: ...........................",2536090000,2536090000,True,2536090000,True,2552090000,False
 Waschbecken," Waschbecken  aus Sanitärkeramik Rechteckiger Waschtisch mit Ablageflächen auf der Hahnlochbank (130 mm) geschliffen mit Hahnlochbank und Befestigungen, Farbe weiß mit Überlauf. Hintere Kante des Innenbeckens leicht gesenkt, gestraffte Flächen, kleine exakte Radien und schmale Ränder, mit zwei Hahnlöchern.  Innenbecken(BxT)1150x315mm. Abmessungen(BxTxH)1200x470x165mm. Fabrikat / Typ Duravit Vero Air  oder gleichwertig und gleichartig  liefern und montieren ",2350120024,0724450027,False,2350700000,False,2350120026,False
WC-Sitz," Duravit WC-Sitz DuraStyle Vital aus Kunststoff, ohne Abbsenkautomatik mit Winkelpuffern und durchgehender Scharnierwelle, Scharniere  edelstahl Bestellnummer: 0020610000 Farbe: 00 Weiss EAN: 4053424039725 oder gleichwertig @11 Textergänzungen des Bieters Angeb. Fabrikat: '..........'   @12 Textergänzungen des Bieters Angeb. Typ: '..........'",0020610000,0020610000,True,0062310000,False,0020610000,True
 Waschtischrinne geschliffen 1200 mm aus Sanitärkeramik mit 2 St. Hahnlöcher und," Waschtischrinne geschliffen 1200 mm aus Sanitärkeramik mit 2 St. Hahnlöcher und Überlauf Rechteckiger Waschtisch mit Ablageflächen auf der Hahnlochbank (130 mm). Hintere Kante des Innenbeckens leicht gesenkt, gestraffte Flächen, kleine exakte Radien und schmale Ränder. Innenbecken(BxT)1150x315mm. Abmessungen(BxTxH)1200x470x165mm. Farbe: Weiß. inkl. Befestigung Typ: Vero Air liefern und nach Herstellerrichtlinien einbauen  Angebotenes Fabrikat:  '.....................................'  Angebotener Typ:  '.....................................'  Produkt nach Nutzervorgabe  ",2350120026,2350120027,False,2350120072,False,2350120026,True
Duravit Waschtisch Vero," Duravit Waschtisch Vero wie vor beschrieben, jedoch als Doppelwaschtisch mit 2 Hahnlöchern, breite 100 cm",0454100026,03481200002,False,0454100024,False,0454100024,False
Waschtisch 65 x 50 cm," Duravit Waschtisch D-Code aus Sanitärkeramik, 650x500x180mm mit Überlauf, mit Hahnlochbank Bestellnummer: 2310650000 Farbe: 00 Weiss Ausführung: 1 Hahnloch EAN: 4021534344046 einschl. Bemusterung vor Bestellung einschl. Lieferung von Zahnband o. Dämmunterlage einschl. Befestigungsmaterial für Trockenbauwand einschl. Abdichtung mit Sanitärsilikon Fabrikat/Typ: Duravit/D-Code liefern und montieren",2310650000,2310650000,True,2310650000,True,2310650000,True
 Urinalbecken IS Connect ," Urinalbecken Urinal, EN 13407 aus Sanitärporzellan mit verdeckter Befestigung Zu- und Ablauf verdeckt einschl. Urinalsieb aus Edelstahl Befestigung mittels Befestigungsschrauben an Installationselement bzw. mit Stockschrauben an Mauerwerk, einschl. Wandanschluss mit dauerelastischem Kitt, einschl. Absaugeformstück waagrecht Aussen glatte geschlossene Form vorne hochgezogen FIZZ  Größe Höhe 500 mm Breite 305 mm Ausladung 285 mm  Hersteller/Typ: '....................................................' ",0823360000,0050411000,False,08343200001,False,0823360000,True
Waschtisch Duravit Vero Air," Duravit Vero Air 45x35cm, mit Überlauf, 1 Hahnloch 0724450000",0724450000,0724450000,True,2350700000,False,0724450000,True
Waschbecken wandhägend," Waschbecken wandhägend Waschbecken(wandhängend), aus Sanitärporzellan, Farbton weiß, glasiert, hochglatt, mit Loch für Einlocharmatur mittig, mit Überlauf sichtbar, für Ablaufventil, Befestigung an Installationselement, inkl. Schallschutz DIN 4109 und Befestigungssystem. - Werkstoff: Sanitärkeramik - Breite (cm): ca. 60 cm - Höhe (cm): ca. 16,5 cm - Teife (cm): ca. 47 cm Einschließlich aller Zubehörteile sowie Dicht-, Klein-, und Befestigungsmaterialien, liefern und fachgerecht montieren einschließlich aller Nebenarbeiten. Fabrikat der Planung: Duravit Typ : Vero Air Vor der Bestellung müssen die Sanitärobjekte als Objektmuster vorgelegt und mit dem Auftraggeber abgestimmt werden. @11 Textergänzungen des Bieters Angebotener Hersteller: '..........................' @12 Textergänzungen des Bieters Angebotener Typ: '..........................'",2350600000,2274150000,False,790166000000000,False,23506000601,False
Duravit Behinderten-Tiefspül-WC," Wand-Tiefspül-WC barrierefrei, weiß aus Sanitärkeramik, Spülmenge 6 l, spülrandlos, für Wandeinbauspülkasten Abmessungen:  360x700x320 mm Farbe:  weiß Oberfläche:  WonderGliss Fabrikat:  Duravit Typ:  Starck 3 Vital",22030900001,22030900001,True,22030900001,True,22030900001,True
 Handwaschbecken, Handwaschbecken 450 x 340 Fabrikat:      Duravit Typ:D-Code Farbe:weiß inkl. Ab- und Überlaufgarnitur und Waschtisch-Befestigungen,0705450000,0705450000,True,0707450070,False,0705450000,True
"DU WWC-Set DuraStyle basic, TS rimless"," DU WWC-Set DuraStyle basic, TS rimless weiß, inkl.WC-Sitz m.Absenkautomatik Duravit Wand-WC Set DuraStyle Basic Rimless Kartonabmessungen: 560x400x430mm Bestehend aus:0000 365x540mm Wand-WC 2562090000 365x540mm WC-Sitz 0020790000 Bestellnummer: 45620900A1 Farbe: 00 Weiß",45620900A1,45620900A1,True,45620900A1,True,45620900A1,True
 WC-Sitz mit Edelstahlscharnier," WC-Sitz mit Edelstahlscharnier WC-Sitz m.Deckel weiss aus Duroplast mit Deckel und Schnellbefestigung reinigungsfreundlich. Bügelscharnier aus Edelstahl Belastbar bis 200 kg min. 4 Brillenpuffer min. 2 Deckelpuffer   Länge: 430 mm Breite: 365 mm Höhe: 45 mm Gewicht: 2,5 kg Farbe: weiß   Liefern und montieren.   gew. Fabrikat: .....................   gew. Typ : .......................   Vom Bieter einzutragen.",0067310000,0062810000,False,0066990000,False,0067310000,True
 WC-Anlage," 1,00 TECEprofil Modul für Wand-WC BH 1120 mm, mit Tece-Spk. 1,00 TECEprofil Modulbefestigung tiefenverstellbar, mit Schnellverschluss 1,00 TECEloop Glas WC-Betätigungsplatte 2-Mengen-Sp., Glas weiß Taste weiß 1,00 ME BY STARCK Wand-Tiefspül-WC spülrandl. inkl. Durafix, weiß 1,00 ME BY STARCK WC-Sitz abnehmbar softclose, Scharniere Edelstahl, weiß 1,00 Schallschutz-Set f. Wand-Klosett u. -Sitzwaschbecken liefern und montieren",2529090000,0063890000,False,2528590000,False,2529090000,True
Waschbecken Sanitärporzellan Einlocharmatur B 600mm Ausladung 470mm Va," Waschtisch aus Sanitärkeramik 470x600x165mm, mit Überlauf, mit Hahnlochbank, Wandhängend, Farbe: Weiß Hochglanz, Ausführung: 1 Hahnlöcher, Wondergliss: Nein Fabr.:   Duravit Typ:   Vero Farbe:   Weiß Art.-Nr.:   0454600000 @11 Textergänzungen des Bieters gewähltes Fabrikat: '..........' @12 Textergänzungen des Bieters Typ: '..........'  Liefern, vom Abladeplatz zum Aufstellungsort transportieren und inkl. erforderlichem Zubehör betriebsfertig montieren.",0454600000,0454600000,True,04546000001,False,0454600000,True
 Badewanne 1700 x 750 mm," Einbauversion, mit einer Rückenschräge, Ablauf im Fußbereich aus 4 mm Sanitäracryl gezogen und durchgefärbt. Innentiefe 400mm. Wannenrandbreite 65mm, an Fußseite 100mm. Wannenrandhöhe 35mm. Abmessungen: Wannenboden 1200x430mm, innen am Wannenrand 1535x620mm. Außen (LxBxH) 1700x750x420mm Nutzinhalt 120 Liter Farbe weiß  Fabrikat / Typ:    DURAVIT / D-Code  Einschl. folgendm Zubehör für Badewanne: - Ab-und Überlaufgarnitur, - Fußgestell, - Schallschutzset",791368000000000,700100000000000,False,700100000000000,False,700100000000000,False
Handwaschbecken rechteckig ca. 450x340 mm," Waschtisch, aus Sanitärporzellan ' '",2310600000,0704450000,False,0704450027,False,0705450000,False
WC-Sitz mit Deckel für Wand-WC," Duravit WC-Sitz D-Code aus Kunststoff mit Absenkautomatik, verlängerte Ausführung, Scharniere edelstahl Bestellnummer: 0062090096 Farbe: 00 Weiss EAN: 4021534569319 Fabrikat/Typ: Duravit/D-Code liefern und montieren",0067390000,0067390000,True,0067390000,True,0067410000,False
Wand-Tiefspül-WC D-Neo Rimless," Wand-Tiefsp ü l-WC - Wei ß Hochglanz, - Sp ü lrandlos, - inkl. Durafix, verdeckte Befestigung aus Metall - Minimaler Sp ü lwasserbedarf von lediglich 4,5 Litern, - komplett glasierter Sp ü lrand: - wandh ä ngende Montage, - offener Sp ü lrand Duravit Rimless ® mit dynamischer Wasserf ü hrung  Abmessungen: Breite : 370 mm Tiefe : 540 mm H ö he: 400 mm  einschl. Sanit ä rsilikon  Fabrikat : Duravit Modell : D-Neo Art-Nr. : 2577092000  komplett liefern und montieren",2577092000,2577092000,True,2551090000,False,2577092000,True
"Wand-Tiefspül-WC weiss, 54 cm"," Wand-Tiefspül-WC sichtbare Befestigung aus Sanitärporzellan DIN-EN33 und DIN-EN997 mit glasiertem Spülrand, mit sichtbarer Befestigung für Unterputzspülkasten mit 45 und 6l Inhalt verdeckter Abgang waagerecht Höhe:  355 mm Breite:  360 mm Tiefe:  540 mm Farbe:  weiß Befestigung an Installationselement mit Gewindestäben M12 x 150, schallgedämmt. Einschließlich dauerelastischer Verfugung zur Wand mit Sanitäracryl. Fabrikat:  VIGOUR Modell:   derby Artikel-Nr.:  DEWWC liefern und montieren",2535090000,2552090000,False,2552090000,False,2527090000,False
 DURAVIT Duraplus Ablage 49 aus Sanitärkeramik, Abmessungen (BxTxH) 490145x60mm,0893500000,0893500000,True,0893500000,True,0893500000,True
"Tiefspül-WC, spülrandlos, 4,5/6l, wandhängend, weiß", vom Bieter einzutragen,2562090000,2200090000,False,2538090000,False,2538090000,False
 WC-Sitz," WC-Sitz mit Deckel und Edelstahlscharnieren, passend zu Tiefspülklosett Duravit D-Code mit Absenkautomatik Farbe:weiß",0067390000,0064290000,False,0067410000,False,0060390000,False
 WC-Sitz mit Deckel, WC-Sitz aus hochwertigem Kunststoff mit Deckel über den Sitz greifend. Verdeckte Scharniere aus Edelstahl.  Weiß. WC-Sitz ohne Absenkautomatik  Fabrikat: Duravit Typ: Philippe Starck 3  Material und Lohn,0063810000,0066300000,False,0067710000,False,0063810000,True
Waschtisch-Einhebelmischer 262 mm Duravit," Waschtisch-Einhebelmischer, ohne Zugstangenablaufgarnitur Fabrikat:		Duravit Typ:			C.1 Artikelnr.:		C11030002 Größe:		262 mm Farbe:		chrom liefern und montieren",C11030002010,C11030001010,False,C11030001010,False,C11030002010,True
 Urinal Sanitärporzellan glasiert Zwangsspülung Fuge verfüllen elast.Dichtstoff Silicon B 5mm," Urinal DIN EN 13407, aus Sanitärporzellan, glasiert, Standardfarbton, mit reversiblem Geruchverschluss, mit aufgelegter Zielmarkierung, Zulauf und Ablauf hinten verdeckt, mit Zwangsspülung durch eingebaute Sensoren und komplettes Steuerungsgerät, Befestigung an Installationselement, mit Schallschutz DIN 4109, einschl. Verfüllen der Fugen, mit elastischem Dichtstoff DIN EN 15651-3, Basis Silicon, Fugenbreite 5 mm, Farbton weiß, Fugenausbildung dreieckig.",2806300000,0834320000,False,2806302007,False,0827252007,False
"Waschtisch, 550 x 440 mm, mit HL, mit ÜL, weiß", vom Bieter einzutragen,2310550000,0300550000,False,2319550000,False,2319550000,False
"Waschtisch, aus Sanitärporzellan, 60cm"," Waschtisch nach DIN 1386, DIN-EN 32 aus Sanitärporzellan, runde Form ohne umlaufenden Rand, Hahnlochbank mit Hahnloch für Einlocharmatur Hahnloch Mitte offen; mit rundem Überlauf Breite:                                600 mm, Ausladung:    460 mm, Gesamthöhe  ca.170 mm einschl. Schallschutz-Set, Farbton: weiß. Befestigung 'an Vorwandelementen'. Befestigung:  Stockschrauben M 10 x 120 einschl. Schallschutz-Set, liefern und montieren: Fabrikat:                            Duravit Modell:                                Darling D-Code Waschtisch 2311600000",2311600000,2311600000,True,2311600070,False,2311600000,True
"Tiefspül-Wand-WC 6l, spülrandlos, normal"," Tiefspül-WC, 4,5/6 l, ohne Spülrand, CE, EN 997 6 AC/5 A, EN 38 aus Sanitärporzellan CE-gekennzeichnet wandhängend, für Wandeinbauspülkasten Maße: ca. 75 mm Bodenfreiheit Breite: ca. 360 mm, Ausladung: ca. 540 mm, Höhe: ca. 355 mm Standardbefestigungshöhe: Oberkante ca. 430 mm Abstand der WC-Sitzbefestigungslöcher ca. 200 mm Befestigung: Gewindestangen M 12 x 150 Zulauf: von hinten Abgang: waagerecht - einschl. Befestigungsmaterial @60 Textergänzungen des Bieters angebotener Hersteller: ................................................... @61 Textergänzungen des Bieters angebotenes Fabrikat:   .................................................... @62 Textergänzungen des Bieters angebotener Produkttyp: ....................................................",2570090000,2552090000,False,2206090000,False,2527090000,False
"Wand-Tiefspül-WC Compact, 350x480 mm",,2211090000,2587090000,False,25710900001,False,2539090000,False
 WC-Ersatz Papierrollenhalter," WC-Ersatz Papierrollenhalter  Verchromt  Incl. alle Klein-, Neben- und Befestigungs- und Dichtungsmaterialien, die zur fachgerechten Montage notwendig sind  Fabrikat : Duravit Typ  : My Style oder glw.  gewähltes Fabriat: ...................................... gewählter Typ: ......................................  komplett liefern und fachgerecht betriebsfertig montieren ",0099151000,0099261000,False,0099261000,False,0099151000,True
 Eventual-Position," Handwaschbeckenanlage Farbe / Oberfläche: alpinweiß / Zubehörteile verchromt bestehend aus Handwaschbecken Fabrikat: Duravit Typ: Starck 3 500 x 260 mm Nr. 075150.00  Eingriff-Einlochbatterie mit Excenterablaufgarnitur Fabrikat: Hans Grohe Typ: Talis S Nr. 32020000  sowie Eckventile, Geruchverschluß, Dichtungs- und Befestigungsmaterial",0751500000,0751500000,True,0751500000,True,0751500000,True
"Tiefspül-Wand-WC 6l, spülrandlos, normal"," Tiefspül-WC, 4,5/6 l, ohne Spülrand, CE, EN 997 6 AC/5 A, EN 38 aus Sanitärporzellan CE-gekennzeichnet wandhängend, für Wandeinbauspülkasten Maße: ca. 75 mm Bodenfreiheit Breite: ca. 360 mm, Ausladung: ca. 540 mm, Höhe: ca. 355 mm Standardbefestigungshöhe: Oberkante ca. 430 mm Abstand der WC-Sitzbefestigungslöcher ca. 200 mm Befestigung: Gewindestangen M 12 x 150 Zulauf: von hinten Abgang: waagerecht - einschl. Befestigungsmaterial @60 Textergänzungen des Bieters angebotener Hersteller: ................................................... @61 Textergänzungen des Bieters angebotenes Fabrikat:   .................................................... @62 Textergänzungen des Bieters angebotener Produkttyp: ....................................................",2570090000,2552090000,False,2206090000,False,2527090000,False
Klassenzimmerbecken (600x460) mit Überlauf," Klassenzimmerbecken 600x450, m.HL, m.ÜL, weiß Material: Sanitärkeramik Farbe: weiß Ausführung: mit Überlauf mit Hahnloch Norm: EN 31, EN 14688 Maße (mm) Breite: 600 Tiefe: 455 Höhe: 200 Innenmaße (mm) Breite: 550/430 Tiefe: 280 Gewicht: 20,5 mit Überlauf inkl. Klein- und Befestigungsmaterial liefern und  montieren",0684600011,0483600000,False,2344530000,False,2344530000,False
" Ablage Duraplus aus Sanitärkeramik 490x145x60mm, weiss"," Ablage Duraplus aus Sanitärkeramik 490x145x60mm, weiss",0893500000,0893500000,True,0893500000,True,0893500000,True
"Duavit-D-Code Wand-Tiefspül-WC 54,5 cm x 35,5"," Du avit-D-Code Wand-Tiefspül-WC 54,5 cm x 35,5 cm, 4,5 I, spülrandlos Farbe: weiß liefern und montieren",2570090000,2535090000,False,2535090000,False,2570090000,True
" Smyle Square Handwaschbecken, 45x36cm"," Smyle Square Handwaschbecken, 45x36cm m. Hl., m. Ül. asym., weiß  Eigenschaften - Unterbaufähig - Überlauf asymmetrisch  Technische Eigenschaften - Hahnloch: mittig - Überlauf: sichtbar - Farbe: weiß - Werkstoff: Sanitärkeramik - B / Breite (cm): 45 cm - H / Höhe (cm): 16 cm - T / Tiefe (cm): 36 cm  Fabrikat: Geberit Typ: Smyle Artikel-Nr.: 500.222.01  oder gleichwertiger Art  Hersteller/Typ  '.........' vom Bieter einzutragen ",0705450000,0713500000,False,0732450070,False,0719450010,False
 Tiefspülklosett Sanitärporzellan hängend 6l," Tiefspül-WC, aus Sanitärporzellan, glasiert, Farbton weiß, mit offenem, glasierten Spülrand, wandhängend, Spülmenge 6 l, Ausladung über 500 bis 600 mm, Abgang waagerecht, Befestigung mit Schrauben, verdeckt, mit Schallschutz DIN 4109, einschl. Verfüllen der Fugen, mit elastischem Dichtstoff, Basis Silicon, Fugenbreite 8 mm, Hersteller/Typ ' Duravit / Me by Starck Art.Nr.: 25280900001' .",25280900001,25280900001,True,2528090000,False,25280900001,True
" WC-Sitz D-Code Scharniere edelstahl, weiss", Duravit WC-Sitz D-Code aus Kunststoff ohne Absenkautomatik Scharniere edelstahl Bestellnummer: 0067310000 Farbe: 00 Weiss EAN: 4021534384769  liefern und montieren ,0067310000,0067310000,True,0067310000,True,0067310000,True
" WC-Sitz ohne Deckel, Scharnierwelle aus V2A "," WC-Sitz ohne Deckel, aus durchgefärbtem Duroplast mit Edelstahlscharnieren. - mit durchgehender Scharnierwelle aus V2A - Scharnierabstand 120 - 170 mm - Belastbarkeit Sitzring 240 kg - mit eingelassenen Scharnieraufnahmen zur   vereinfachten Reinigung  Für Tiefspül-WC für Menschen mit Behinderung, Duravit  Wand-WC Starck 3 Vital, 360x700  Farbe:      weiß  oder gleichwertig  Fabrikat:__________________ Typ:______________________  liefern und montieren   ",0062610000,0062610000,True,0065880099,False,0062410000,False
